none_3,none,1,2.21763170304,1.7899458969600008,0,11652.89510912
none_0,none,1,2.25737680896,1.7502007910400008,0,11772.130426880001
none_2,none,1,2.24540798976,1.7621696102400008,0,11736.22396928
none_1,none,1,2.24138244096,1.7661951590400005,0,11724.147322879999
none_3,none,2,2.2259415859200002,1.7816360140800007,0,18330.71986688
none_0,none,2,2.22910451712,1.7784730828800008,0,18459.44397824
none_2,none,2,2.3350052044799994,1.6725723955200007,0,18741.239582719998
none_1,none,2,2.2448400998399998,1.7627375001600007,0,18458.667622399997
none_3,none,3,2.23904618496,1.7685314150400009,0,25047.85842176
none_0,none,3,2.2093793280000003,1.7981982720000007,0,25087.58196224
none_2,none,3,2.21555423232,1.7920233676800006,0,25387.902279679998
none_1,none,3,2.314625863679999,1.6929517363200006,0,25402.545213439993
none_4,none,1,2.379099340799999,1.6284782592000004,0,12137.298022399997
none_6,none,1,2.2482114969599998,1.759366103040001,0,11744.634490879998
none_5,none,1,2.4042230783999985,1.6033545216000005,0,12212.669235199995
none_7,none,1,2.23887366144,1.7687039385600007,0,11716.620984320001
none_4,none,2,2.22107498496,1.7865026150400007,0,18800.522977279998
none_6,none,2,2.2032906854400003,1.804286914560001,0,18354.5065472
none_5,none,2,2.2154679705599998,1.7921096294400007,0,18859.073146879993
none_7,none,2,2.2707401932799995,1.7368374067200005,0,18528.84156416
none_4,none,3,2.19373000704,1.8138475929600009,0,25381.7129984
none_6,none,3,2.3082640588799994,1.6993135411200004,0,25279.29872384
none_5,none,3,2.2585629081599996,1.749014691840001,0,25634.76187135999
none_7,none,3,2.24903817216,1.7585394278400006,0,25275.95608064
none_11,none,1,2.22090246144,1.7866751385600006,0,11662.707384320001
none_8,none,1,2.2530780979199996,1.7544995020800007,0,11759.234293759999
none_10,none,1,2.24269074432,1.7648868556800008,0,11728.07223296
none_9,none,1,2.2333169664,1.7742606336000009,0,11699.950899200001
none_11,none,2,2.19166691328,1.815910686720001,0,18237.708124160003
none_8,none,2,2.2427410636799996,1.764836536320001,0,18487.457484799997
none_10,none,2,2.259698688,1.747878912000001,0,18507.16829696
none_9,none,2,2.2229655552000005,1.784612044800001,0,18368.847564800002
none_11,none,3,2.2577362329599997,1.7498413670400006,0,25010.916823040003
none_8,none,3,2.2263872716799997,1.7811903283200008,0,25166.619299839997
none_10,none,3,2.2631204044799995,1.7444571955200008,0,25296.5295104
none_9,none,3,2.25514119168,1.7524364083200008,0,25134.271139840002
none_12,none,1,2.2468169318399998,1.7607606681600008,0,11740.450795519999
none_14,none,1,2.1985606656,1.8090169344000007,0,11595.6819968
