cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass
1,1,none,0.1,0.98,0,1,2.709504
2,1,none,0.2,0.96,0,2,5.363712
3,1,none,0.30000000000000004,0.94,0,3,7.962624
4,1,none,0.4,0.6399999999999999,0,4,14.155776
5,1,none,0.5,0.55,0,5,19.478016
6,1,none,0.6,0.5,0,6,24.316416
7,1,none,0.7,0.5,0,7,29.154816
8,1,none,0.7,0.5,0,8,33.993216000000004
9,1,none,0.7999999999999999,0.5,0,9,38.831616000000004
10,1,none,0.8999999999999999,0.5,0,10,43.670016000000004
11,1,none,0.8999999999999999,0.5,0,11,48.508416000000004
12,1,none,0.9999999999999999,0.5,0,12,53.346816000000004
13,1,none,1.0,0.5,0,13,58.185216000000004
14,1,none,1.0,0.5,0,14,63.023616000000004
15,1,none,1.0,0.5,0,15,67.86201600000001
16,1,none,1.0,0.5,0,16,72.70041600000002
17,1,none,1.0,0.5,0,17,77.53881600000003
18,1,none,1.0,0.5,0,18,82.37721600000003
19,1,none,1.0,0.5,0,19,87.21561600000004
20,1,none,1.0,0.5,0,20,92.05401600000005
21,1,none,1.0,0.5,0,21,96.89241600000005
22,1,none,1.0,0.5,0,22,101.73081600000006
23,1,none,1.0,0.5,0,23,106.56921600000007
24,1,none,1.0,0.5,0,24,111.40761600000008
25,1,none,1.0,0.5,0,25,116.24601600000008
26,1,none,1.0,0.5,0,26,121.08441600000009
27,1,none,1.0,0.5,0,27,125.9228160000001
28,1,none,1.0,0.5,0,28,130.7612160000001
29,1,none,1.0,0.5,0,29,135.5996160000001
30,1,none,1.0,0.5,0,30,140.43801600000012
31,1,none,1.0,0.5,0,31,145.27641600000013
32,1,none,1.0,0.5,0,32,150.11481600000013
33,1,none,1.0,0.5,0,33,154.95321600000014
34,1,none,1.0,0.5,0,34,159.79161600000015
35,1,none,1.0,0.5,0,35,164.63001600000015
36,1,none,1.0,0.5,0,36,169.46841600000016
37,1,none,1.0,0.5,0,37,174.30681600000017
38,1,none,1.0,0.5,0,38,179.14521600000018
39,1,none,1.0,0.5,0,39,183.98361600000018
40,1,none,1.0,0.5,0,40,188.8220160000002
41,1,none,1.0,0.5,0,41,193.6604160000002
42,1,none,1.0,0.5,0,42,198.4988160000002
43,1,none,1.0,0.5,0,43,203.3372160000002
44,1,none,1.0,0.5,0,44,208.17561600000022
45,1,none,1.0,0.5,0,45,213.01401600000023
46,1,none,1.0,0.5,0,46,217.85241600000023
47,1,none,1.0,0.5,0,47,222.69081600000024
48,1,none,1.0,0.5,0,48,227.52921600000025
49,1,none,1.0,0.5,0,49,232.36761600000025
50,1,none,1.0,0.5,0,50,237.20601600000026
51,1,none,1.0,0.5,0,51,242.04441600000027
52,1,none,1.0,0.5,0,52,248.26521600000027
53,1,none,1.0,0.5,0,53,254.48601600000026
54,1,none,1.0,0.5,0,54,260.7068160000003
55,1,none,1.0,0.5,0,55,266.9276160000003
56,1,none,1.0,0.5,0,56,273.1484160000003
57,1,none,1.0,0.5,0,57,279.3692160000003
58,1,none,1.0,0.5,0,58,285.5900160000003
59,1,none,1.0,0.5,0,59,291.8108160000003
60,1,none,1.0,0.5,0,60,298.03161600000027
61,1,none,1.0,0.5,0,61,304.25241600000027
62,1,none,1.0,0.5,0,62,310.47321600000026
63,1,none,1.0,0.5,0,63,316.69401600000026
64,1,none,1.0,0.5,0,64,322.91481600000026
65,1,none,1.0,0.5,0,65,329.13561600000025
66,1,none,1.0,0.5,0,66,335.35641600000025
67,1,none,1.0,0.5,0,67,341.57721600000025
68,1,none,1.0,0.5,0,68,347.79801600000025
69,1,none,1.0,0.5,0,69,354.01881600000024
70,1,none,1.0,0.5,0,70,360.23961600000024
71,1,none,1.0,0.5,0,71,366.46041600000024
72,1,none,1.0,0.5,0,72,372.68121600000023
73,1,none,1.0,0.5,0,73,378.90201600000023
74,1,none,1.0,0.5,0,74,385.1228160000002
75,1,none,1.0,0.6,0,75,392.1730560000002
77,2,none,0.1,0.98,0,1,2.709504
78,2,none,0.2,0.96,0,2,5.363712
79,2,none,0.30000000000000004,0.94,0,3,7.962624
80,2,none,0.4,0.6399999999999999,0,4,14.155776
81,2,none,0.5,0.55,0,5,19.478016
82,2,none,0.6,0.5,0,6,24.316416
83,2,none,0.7,0.5,0,7,29.154816
84,2,none,0.7,0.5,0,8,33.993216000000004
